,Наименование работ,Дни мес.,01.11.2015,02.11.2015,03.11.2015,04.11.2015,05.11.2015,06.11.2015,07.11.2015,08.11.2015,09.11.2015,10.11.2015,11.11.2015,12.11.2015,13.11.2015,14.11.2015,15.11.2015,16.11.2015,17.11.2015,18.11.2015,19.11.2015,20.11.2015,21.11.2015,22.11.2015,23.11.2015,24.11.2015,25.11.2015,26.11.2015,27.11.2015,28.11.2015,29.11.2015,30.11.2015
4.5.1,Инженерная подготовка_act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5.1.1,"            Устройство лежневого настила шириной 3,5 м_act",план,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"            Устройство лежневого настила шириной 3,5 м_act",факт,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5.1.2,               Устройство насыпи при доставке грунта автотранспортными средствами с перемещением_act,план,,,111,111,111,111,,,,,,,,,,,,,,,,,,,,,,,,
,               Устройство насыпи при доставке грунта автотранспортными средствами с перемещением_act,факт,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4.5.1.3,               Планировка откосов и верха насыпи площадки механизированным способом_act,план,,,,,,,486,,,,,,,,,,,,,,,,,,,,,,,
,               Планировка откосов и верха насыпи площадки механизированным способом_act,факт,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
4.5.2,"Монтаж технологических трубопроводов и оборудования (Задвижка ДУ350 -1шт. Задвижка ДУ100 - 3шт, Задвижка ДУ100 - 2шт)_act",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5.2.1,               Разработка грунта в отвал экскаваторами_act,план,,,,,,,,,,,120,115,115,,,,,,,,,,,,,,,,,
,               Разработка грунта в отвал экскаваторами_act,факт,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,
4.5.2.2,               Сборка и установка кранового узла с двусторонней продувкой на трубопроводе: Д 350 мм_act,план,,,,,,,,,,,,,,0.15,0.15,0.15,0.15,0.2,0.2,,,,,,,,,,,
,               Сборка и установка кранового узла с двусторонней продувкой на трубопроводе: Д 350 мм_act,факт,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,
